  Actual output     Excepected output
28.7535       150   25.56
43.2774       151   24.4
26.1853       152   23.52
55.6694       153   66
45.2759       154   59.59
28.6444       155   28.99
17.0085       156   25.57
29.7406       157   37.42
36.5353       158   38.41
62.1813       159   79.3
15.3563       160   12.18
13.5924       161   10.54
18.1487       162   25.08
33.6001       163   52.91
41.5417       164   53.96
17.6303       165   21.86
28.7034       166   37.17
31.3831       167   53.9
23.4594       168   30.57
22.8713       169   26.4
20.0543       170   15.09
25.413       171   45.85
15.9561       172   10.39
34.0904       173   43.57
19.2242       174   24.43
28.3924       175   23.85
26.6272       176   39.49
27.8226       177   22.49
20.4831       178   31.25
45.6836       179   33.4
28.7236       180   33.02
11.6966       181   7.84
26.539       182   35.23
63.2763       183   69.3
21.4694       184   19.2
25.0478       185   39
22.771       186   29.65
19.4152       187   24.05
24.2356       188   24.07
15.5214       189   17.22
18.6023       190   15.53
22.432       191   23.74
27.6981       192   26.23
30.6349       193   42.29
24.1112       194   33.54
30.778       195   39.05
30.1687       196   41.41
23.073       197   34.24
48.3305       198   37.8
40.3042       199   22.75
31.2978       200   49.97
24.4861       201   18.2
11.7174       202   6.94
17.5037       203   24.99
56.8783       204   52.2
49.9155       205   74.7
48.6976       206   39.23
60.0615       207   63.4
14.6212       208   11.41
17.5954       209   21.95
27.4456       210   38.89
55.9001       211   59.89
11.635       212   10.09
18.28       213   16.89
19.7793       214   18.03
38.7186       215   51.86
16.6213       216   24.92
22.2427       217   33.27
29.4408       218   45.84
34.3136       219   48.72
27.1649       220   33.73
24.9896       221   29.55
12.6247       222   12.84
32.3383       223   23.89
28.0795       224   21.86
39.1643       225   56.74
50.2914       226   55.6
14.4319       227   24.45
23.8372       228   23.22
19.6834       229   19.54
25.3384       230   39.84
41.1791       231   32.01
32.3725       232   52.12
16.7073       233   8
29.7592       234   40.39
10.1595       235   2.33
27.4993       236   23.52
33.0728       237   44.61
25.9268       238   26.14
33.8044       239   32.96
43.5942       240   56.63
21.2424       241   28.02
42.3002       242   35.1
53.4399       243   61.46
26.8133       244   31.72
48.8137       245   52.01
18.9888       246   19.42
28.1523       247   33.4
19.4048       248   37.27
36.1102       249   42.42
33.1909       250   17.82
19.3984       251   24.29
38.464       252   52.5
27.0701       253   36.59
27.0881       254   38.2
39.7859       255   49.77
24.8957       256   22.63
35.6419       257   46.23
57.2024       258   67.8
59.7125       259   71.7
17.0168       260   21.97
16.8643       261   22.32
34.079       262   36.8
16.8212       263   15.58
40.5747       264   36.35
39.1935       265   52.96
61.5435       266   68.1
32.3891       267   47.03
54.4109       268   67.57
33.235       269   36.94
27.0821       270   42.13
36.4721       271   40.76
40.6848       272   52.42
29.654       273   26.06
25.7441       274   23.8
27.9586       275   33.4
22.5493       276   32.04
22.1722       277   32.82
31.7172       278   46.25
26.0894       279   26.15
55.2227       280   41.37
45.2887       281   33.4
31.0931       282   33.21
25.6251       283   34.29
47.5892       284   66.82
22.1536       285   35.23
36.0369       286   28.3
47.5752       287   55.45
24.4924       288   33.09
29.5511       289   26.91
45.302       290   35.3
53.9       291   72.1
17.663       292   9.56
14.3808       293   13.66
13.9558       294   10.79
14.9962       295   18.75
32.4267       296   52.52
22.1228       297   27.77
43.6167       298   60.32
48.8137       299   39.3
17.5592       300   17.54
24.5031       301   29.59
57.7096       302   57.23
36.6294       303   40.87
33.1956       304   48.7
19.4049       305   15.82
30.9766       306   38.77
22.2152       307   15.57
64.6616       308   79.4
21.6546       309   39.64
25.2298       310   45.71
61.7537       311   54.9
15.3485       312   15.04
37.277       313   48.99
37.2251       314   51.26
39.603       315   38.7
22.7881       316   38.11
14.3099       317   11.48
24.3725       318   23.84
36.3031       319   42.62
28.6279       320   31.18
34.1005       321   27.68
17.6921       322   7.4
20.7884       323   29.16
41.0753       324   52.43
30.4815       325   39.94
32.139       326   29.07
47.1808       327   47.1
28.4388       328   36.99
49.4523       329   47.28
38.5103       330   43.8
23.2786       331   38.7
29.8939       332   38.6
24.6073       333   26.92
22.6289       334   16.5
24.1348       335   16.11
63.6392       336   66.7
13.0477       337   6.88
39.5268       338   44.33
15.2283       339   14.99
36.861       340   42.8
47.8079       341   55.9
61.2852       342   64.9
27.7801       343   32.88
37.2624       344   44.13
25.1017       345   29.39
16.9428       346   18.91
21.8314       347   19.11
28.9733       348   41.89
19.7664       349   18.03
45.8697       350   40.2
24.9674       351   39.38
28.1696       352   38.56
22.4612       353   38.33
18.546       354   26.94
28.0078       355   43.06
36.0293       356   35.96
28.6929       357   32.4
17.0129       358   13.18
16.5646       359   13.22
26.7267       360   33.95
42.4665       361   54.32
25.7827       362   15.42
47.8079       363   55.9
45.302       364   35.3
56.002       365   53.39
23.5155       366   21.91
16.3658       367   6.9
15.6139       368   15.62
28.4411       369   40.57
26.9462       370   35.34
62.1813       371   79.3
21.8409       372   17.57
37.1338       373   45.7
32.6106       374   55.06
18.4067       375   19.99
29.342       376   30.65
29.3812       377   33.42
18.2359       378   12.46
19.6725       379   27.83
20.7186       380   20.28
22.1007       381   31.35
19.1997       382   15.52
39.8069       383   24.1
28.1774       384   36.96
55.2254       385   67.7
23.5941       386   42.35
53.4118       387   55.2
20.5151       388   22.44
42.267       389   35.75
42.4238       390   60.95
16.0339       391   20.59
20.7474       392   15.34
27.113       393   36.45
14.3975       394   4.83
47.666       395   54.1
36.0125       396   37.72
26.4371       397   40.66
22.8201       398   27.74
35.6435       399   42.03
40.8991       400   45.37
19.7456       401   22.72
16.0089       402   14.5
47.8079       403   55.9
17.9486       404   26.32
56.5129       405   71.3
39.5534       406   39.42
23.9984       407   18.02
19.6758       408   27.66
55.0101       409   55.5
23.989       410   44.3
20.8159       411   40.71
31.345       412   39.09
22.6604       413   12.37
38.2726       414   48.4
14.5325       415   9.74
45.2887       416   33.4
15.9664       417   17.17
27.8843       418   30.12
31.7965       419   29.07
51.754       420   69.66
18.4512       421   21.75
33.1893       422   42.22
32.1999       423   33.3
21.5471       424   25.22
26.05       425   39.27
22.844       426   22.5
32.311       427   53.77
51.0098       428   56.83
25.2095       429   40.06
14.2632       430   9.87
21.1522       431   26.31
26.5713       432   35.57
17.9438       433   19.52
21.1232       434   37.96
19.1103       435   27.92
20.0828       436   24.48
16.4464       437   24.28
53.6959       438   64.9
25.6911       439   25.45
20.4579       440   20.42
22.1469       441   35.23
25.4766       442   35.34
17.9158       443   14.99
18.182       444   15.75
27.691       445   35.85
26.1627       446   42.64
36.2261       447   53.46
24.4951       448   31.27
22.6146       449   16.5
24.538       450   31.81
25.4135       451   31.84
19.3316       452   29.79
35.4106       453   37.27
36.9303       454   37.91
36.3711       455   41.15
17.6194       456   20.87
12.3631       457   14.4
22.9148       458   32.66
47.5061       459   49.2
22.8222       460   41.16
46.7659       461   57.92
40.3353       462   33.76
31.9848       463   47.82
31.1795       464   48.67
40.3473       465   33.76
43.061       466   25.2
36.2488       467   44.09
30.0969       468   44.21
33.399       469   51.73
60.56       470   65.2
27.6836       471   40.15
30.8692       472   43.7
59.5571       473   59.2
22.7792       474   19.01
39.9498       475   25.12
39.9003       476   37.92
29.2992       477   33.05
21.7874       478   25.37
42.6555       479   63.14
42.1814       480   41.67
22.8272       481   27.34
28.3395       482   45.37
14.9423       483   16.88
26.3367       484   26.86
17.8968       485   13.33
21.0763       486   17.84
30.6423       487   33.8
18.3245       488   19.99
20.9562       489   33.7
26.6298       490   40.86
39.8019       491   57.21
45.487       492   40.29
55.1666       493   60.29
38.1041       494   39.46
25.5114       495   30.14
35.8314       496   51.33
20.4947       497   24.9
36.7974       498   40.87
21.0292       499   31.42
42.305       500   67.11
20.0143       501   32.07
16.3001       502   13.2
22.2641       503   21.48
58.1941       504   74.36
30.9372       505   39.29
33.9803       506   43.38
31.2245       507   52.91
43.0509       508   39
29.4148       509   42.92
24.1261       510   17.24
22.6379       511   37.33
58.3248       512   66.9
16.5495       513   14.2
17.2995       514   17.44
 MSE 
49.0218
